Symbol,yahoo_symbol,name,etf,test_issue,source
SMCI,SMCI,"Super Micro Computer, Inc. - Common Stock",False,False,nasdaq
SMMT,SMMT,Summit Therapeutics Inc.  - Common Stock,False,False,nasdaq
SMTC,SMTC,Semtech Corporation - Common Stock,False,False,nasdaq
SNDK,SNDK,Sandisk Corporation - Common Stock When-Issued,False,False,nasdaq
SNEX,SNEX,StoneX Group Inc. - Common Stock,False,False,nasdaq
SNPS,SNPS,"Synopsys, Inc. - Common Stock",False,False,nasdaq
SOFI,SOFI,"SoFi Technologies, Inc.  - Common Stock",False,False,nasdaq
SOLS,SOLS,Solstice Advanced Materials Inc. - Common Stock,False,False,nasdaq
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,False,False,nasdaq
SRAD,SRAD,Sportradar Group AG - Class A Ordinary Shares,False,False,nasdaq
SRRK,SRRK,Scholar Rock Holding Corporation - Common Stock,False,False,nasdaq
SSNC,SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",False,False,nasdaq
SSRM,SSRM,SSR Mining Inc. - Common Stock,False,False,nasdaq
STEP,STEP,StepStone Group Inc. - Class A Common Stock,False,False,nasdaq
STLD,STLD,"Steel Dynamics, Inc. - Common Stock",False,False,nasdaq
STRL,STRL,"Sterling Infrastructure, Inc. - Common Stock",False,False,nasdaq
STX,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),False,False,nasdaq
SWKS,SWKS,"Skyworks Solutions, Inc. - Common Stock",False,False,nasdaq
SYM,SYM,Symbotic Inc. - Class A Common Stock,False,False,nasdaq
SYNA,SYNA,Synaptics Incorporated - Common Stock,False,False,nasdaq
SYRE,SYRE,"Spyre Therapeutics, Inc. - Common Stock",False,False,nasdaq
TARS,TARS,"Tarsus Pharmaceuticals, Inc. - Common Stock",False,False,nasdaq
TCBI,TCBI,"Texas Capital Bancshares, Inc. - Common Stock",False,False,nasdaq
TEAM,TEAM,Atlassian Corporation  - Class A Common Stock,False,False,nasdaq
TECH,TECH,Bio-Techne Corp - Common Stock,False,False,nasdaq
TEM,TEM,"Tempus AI, Inc. - Class A Common Stock",False,False,nasdaq
TENB,TENB,"Tenable Holdings, Inc. - Common Stock",False,False,nasdaq
TER,TER,"Teradyne, Inc. - Common Stock",False,False,nasdaq
TFSL,TFSL,TFS Financial Corporation - Common Stock,False,False,nasdaq
TGTX,TGTX,"TG Therapeutics, Inc. - Common Stock",False,False,nasdaq
TIGO,TIGO,Millicom International Cellular S.A. - Common Stock,False,False,nasdaq
TLN,TLN,Talen Energy Corporation - Common Stock,False,False,nasdaq
TMDX,TMDX,"TransMedics Group, Inc. - Common Stock",False,False,nasdaq
TMUS,TMUS,"T-Mobile US, Inc. - Common Stock",False,False,nasdaq
TNGX,TNGX,"Tango Therapeutics, Inc. - Common Stock",False,False,nasdaq
TOWN,TOWN,Towne Bank - Common Stock,False,False,nasdaq
TPG,TPG,TPG Inc. - Class A Common Stock,False,False,nasdaq
TRI,TRI,Thomson Reuters Corp - Common Shares,False,False,nasdaq
TRMB,TRMB,Trimble Inc. - Common Stock,False,False,nasdaq
TRMD,TRMD,TORM plc - Class A Common Stock,False,False,nasdaq
TROW,TROW,"T. Rowe Price Group, Inc. - Common Stock",False,False,nasdaq
TSCO,TSCO,Tractor Supply Company - Common Stock,False,False,nasdaq
TSEM,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,False,False,nasdaq
TSLA,TSLA,"Tesla, Inc.  - Common Stock",False,False,nasdaq
TTAN,TTAN,"ServiceTitan, Inc. - Class A Common Stock",False,False,nasdaq
TTD,TTD,"The Trade Desk, Inc. - Class A Common Stock",False,False,nasdaq
TTEK,TTEK,"Tetra Tech, Inc. - Common Stock",False,False,nasdaq
TTMI,TTMI,"TTM Technologies, Inc. - Common Stock",False,False,nasdaq
TTWO,TTWO,"Take-Two Interactive Software, Inc. - Common Stock",False,False,nasdaq
TVTX,TVTX,"Travere Therapeutics, Inc. - Common Stock",False,False,nasdaq
TW,TW,Tradeweb Markets Inc. - Class A Common Stock,False,False,nasdaq
TWST,TWST,Twist Bioscience Corporation - Common Stock,False,False,nasdaq
TXG,TXG,"10x Genomics, Inc. - Common Stock",False,False,nasdaq
TXN,TXN,Texas Instruments Incorporated - Common Stock,False,False,nasdaq
TXRH,TXRH,"Texas Roadhouse, Inc. - Common Stock",False,False,nasdaq
UCTT,UCTT,"Ultra Clean Holdings, Inc. - Common Stock",False,False,nasdaq
UFPI,UFPI,"UFP Industries, Inc. - Common Stock",False,False,nasdaq
ULTA,ULTA,"Ulta Beauty, Inc. - Common Stock",False,False,nasdaq
UMBF,UMBF,UMB Financial Corporation - Common Stock,False,False,nasdaq
URBN,URBN,"Urban Outfitters, Inc. - Common Stock",False,False,nasdaq
USAR,USAR,"USA Rare Earth, Inc. - Common Stock",False,False,nasdaq
VCTR,VCTR,"Victory Capital Holdings, Inc. - Common Stock",False,False,nasdaq
VCYT,VCYT,"Veracyte, Inc. - Common Stock",False,False,nasdaq
VECO,VECO,Veeco Instruments Inc. - Common Stock,False,False,nasdaq
VIAV,VIAV,Viavi Solutions Inc. - Common Stock,False,False,nasdaq
VICR,VICR,Vicor Corporation - Common Stock,False,False,nasdaq
